SOURCE,TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
sentinel,Coast Range,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,13.546079742266311
sentinel,Coast Range,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.19125640665152768
sentinel,Coast Range,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-1.0237544938032777
sentinel,Coast Range,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.014454337306699667
sentinel,Coast Range,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,20.171846821633864
sentinel,Coast Range,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2848052729671348
sentinel,Coast Range,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,16.505028726563886
sentinel,Coast Range,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.23303365593466688
sentinel,Coast Range,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-11.43907310492082
sentinel,Coast Range,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.16150768776629562
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,19.98242755086039
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.49406355308471556
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,15.749828511421386
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.38941295871195386
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,3.986072538269397
sentinel,Eastern Cascades,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.0985552509122443
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,18.57126275423246
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.45917264247660755
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,14.063917426151786
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.3477289731775065
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-4.2056640765670545
sentinel,Eastern Cascades,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.10398463006863252
sentinel,Klamath Mountains,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,20.69486452737784
sentinel,Klamath Mountains,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3495469588466343
sentinel,Klamath Mountains,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,15.982163566538231
sentinel,Klamath Mountains,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.26994700366761765
sentinel,Klamath Mountains,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-8.836707793874204
sentinel,Klamath Mountains,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.1492565622489945
sentinel,Klamath Mountains,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,26.685017904553114
sentinel,Klamath Mountains,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.45072374564059997
sentinel,Klamath Mountains,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,20.6776609348983
sentinel,Klamath Mountains,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.349256381277281
sentinel,Klamath Mountains,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-16.563628816423737
sentinel,Klamath Mountains,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.27976825229205743
sentinel,North Cascades,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,20.911499251890408
sentinel,North Cascades,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3607913447287657
sentinel,North Cascades,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,16.38493820442917
sentinel,North Cascades,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.28269345095088394
sentinel,North Cascades,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,7.484121971025542
sentinel,North Cascades,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.12912543464793927
sentinel,North Cascades,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,23.189011447037508
sentinel,North Cascades,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.40008583421636196
sentinel,North Cascades,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,18.86042624226223
sentinel,North Cascades,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.32540366733811993
sentinel,North Cascades,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-4.063362210438881
sentinel,North Cascades,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.07010620799423381
sentinel,Northern Rockies,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,20.40666772722203
sentinel,Northern Rockies,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.5348671555733476
sentinel,Northern Rockies,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,16.6785852325201
sentinel,Northern Rockies,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.4371525798112294
sentinel,Northern Rockies,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,7.914664754363887
sentinel,Northern Rockies,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.2074466189713141
sentinel,Northern Rockies,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,30.986102678438368
sentinel,Northern Rockies,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.81215849757829
sentinel,Northern Rockies,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,26.74619196573192
sentinel,Northern Rockies,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.7010286936777205
