uuid,lidar_year,num_returns,strat0_return-proportion,strat1_return-proportion,strat2_return-proportion,strat3_return-proportion,strat4_return-proportion,strat5_return-proportion,skewness,kurtosis,strat0_intensity-median,strat1_intensity-median,strat2_intensity-median,strat3_intensity-median,strat4_intensity-median,strat5_intensity-median,height_05-percentile,height_25-percentile,height_50-percentile,height_75-percentile,height_95_percentile,height_max,cover,lidar_acq,potential_volume,stddev_height,surface_area_ratio,surface_volume,surface_volume_ratio,aspect,elevation,overall_curvature,plan_curvature,profile_curvature,slope,solar_radiation_index
7e835c49,2015,34733,0.113264,0.051939,0.055999,0.197334,0.248928,0.289581,-0.166023,1.811493,16737.5,10322.0,7082.0,5202.0,5970.0,6865.0,0.0,8.98,21.780001,31.620001,39.82,45.84,83.479688,upper-umpqua_2015,4433.0,12.378328323364258,7.681724071502685,2299.553955078125,0.5334150195121765,336.68658447265625,1460.183349609375,-0.5543000102043152,0.16899999976158142,-0.27459999918937683,34.39144897460937,1.2410999536514282
7e8aef8c,2008,3673,0.402396,0.297032,0.098285,0.011435,0.0,0.0,2.02887,7.124973,149.0,116.0,66.0,60.0,15.5,-9999.0,0.0,0.0,0.37,2.15,7.364,17.34,30.057174,or-south-coast_2008,651.5,1.2774440050125122,1.7151944637298584,126.6913070678711,0.15448600053787231,173.02984619140625,676.3416748046875,0.7235000133514404,-0.7511000037193298,0.157150000333786,32.25094985961914,1.978899955749512
7e9cd33b,2012,6123,0.031847,0.025804,0.027274,0.173771,0.301813,0.391148,-0.279826,2.4116049999999998,43.0,24.5,29.5,36.0,55.0,52.0,0.93,17.969998999999994,26.950001,35.43,45.700001,52.110001,94.234852,hoh-river_2012,4912.5,11.50265884399414,6.718134880065918,3038.79736328125,0.6314384937286377,78.48615264892578,144.1060028076172,10.467399597167967,-6.4836997985839835,4.211899757385254,21.42145156860352,1.5585999488830566
7e9e8ea5,2014,51628,0.072325,0.014991999999999997,0.013868,0.26412,0.546118,0.08038300000000001,-1.04309,3.7586739999999996,131.0,134.0,74.0,60.5,153.0,262.0,0.0,17.32,22.18,26.15,31.23,41.43,91.268304,lane-county_2014,3482.5,3.9494414329528813,3.448593139648437,2608.81884765625,0.7461055517196655,215.7549133300781,1027.3797607421877,-1.024799942970276,-0.19574999809265134,0.032499998807907104,18.000699996948242,1.8667500019073489
7ea23c86,2017,1750,0.7902859999999999,0.024571,0.002286,0.008,0.171429,0.001143,1.71575,4.044929,248.0,208.0,33.5,20.0,45.0,-9999.0,0.0,0.0,0.0,0.0,26.230999,30.379999,18.514286,ne-wa_2017,2681.5,6.854758739471436,2.747204542160034,246.9265594482422,0.0858059972524643,333.62762451171875,1358.566650390625,0.17275001108646393,0.008899997919797897,-0.014149999246001244,13.606050491333008,1.4797000885009766
7eb39627,2013,37802,0.045765,0.028967000000000007,0.037353,0.292974,0.494286,0.089995,-0.795704,3.362395,24.0,32.0,24.0,26.0,65.0,76.0,0.21,16.610001,21.299999,25.309999,31.76,39.330002,92.52685,tulalip_2013,3288.0,4.537528038024902,3.338233470916748,2406.39697265625,0.7350620031356812,194.72239685058597,658.52197265625,-3.5,1.1069999933242798,-1.2759000062942505,13.188899993896484,1.77400004863739
7eb702ab,2002,657,1.0,0.0,0.0,0.0,0.0,0.0,-1.#IND00,-1.#IND00,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,puget-sound-lowlands_2002,0.0,0.0,1.0,0.0,,200.84820556640625,250.05914306640625,-1.2413499355316162,-1.9385499954223635,-3.9814999103546143,30.50790023803711,1.9011499881744385
7eb702ab,2011,4904,0.059135,0.089723,0.031607,0.075653,0.131117,0.602162,-0.7728470000000001,2.262622,33.5,40.0,15.5,12.0,18.0,43.0,0.0,15.9775,32.139999,39.259998,45.44700200000001,50.610001,85.114192,thurston_2011,4682.04638671875,10.158413887023926,8.071491241455076,3066.596435546875,0.648751974105835,204.17974853515625,249.27398681640625,-14.571599960327148,6.516200065612793,-7.335000038146973,32.16025161743164,1.8648500442504885
7eb702ab,2016,19419,0.090221,0.069262,0.051753,0.106442,0.080179,0.585612,-0.549708,1.8636099999999998,13738.0,3864.0,1417.0,2087.0,5392.0,7159.0,0.0,11.7,32.220001,38.669998,46.120998,52.560001,84.051702,wa-western_2016,5004.5,13.14474868774414,9.405864715576172,3289.84423828125,0.6447315216064453,209.28814697265625,242.143798828125,0.14545001089572904,-0.09065000712871553,0.18950000405311584,14.166099548339846,1.8125
7ebd884f,2012,4693,0.076071,0.010228,0.056467,0.6121880000000001,0.22480300000000006,0.0,-1.0908719999999998,3.6535059999999997,15.0,4.5,6.0,3.0,87.0,-9999.0,0.0,13.87,17.08,19.66,23.883999,28.120001,91.370126,rogue-river_2012,2598.5,2.7137770652771,2.551877498626709,1826.049560546875,0.7408980131149292,244.2222442626953,674.7951049804688,-0.07780003547668457,0.3703500032424927,0.750249981880188,33.66225051879883,1.7575500011444092
