TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rmse,tcuft,1051.9021939505321
Blue Mountains,Coast Range,HistGradientBoostingRegressor,nrmse,tcuft,0.568046698808117
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mae,tcuft,878.9768643537576
Blue Mountains,Coast Range,HistGradientBoostingRegressor,mape,tcuft,0.4746638128490705
Blue Mountains,Coast Range,HistGradientBoostingRegressor,bias,tcuft,679.633025351321
Blue Mountains,Coast Range,HistGradientBoostingRegressor,rel_bias,tcuft,-0.3670144417152405
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,total_cover,9.142922480525192
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,total_cover,0.2820865375116665
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,total_cover,7.29718562298341
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,total_cover,0.2251400282953139
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,total_cover,-5.197443667672186
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,total_cover,0.16035670118044856
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,topht,13.450899058463646
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,topht,0.2259985016741273
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,topht,10.947837267590108
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,topht,0.18394270957603465
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,topht,-8.506534860868655
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,topht,0.14292458256055263
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,qmd,2.9091996337155
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,qmd,0.23191899737601912
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,qmd,2.197287416641734
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,qmd,0.17516594210609915
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,qmd,-0.27942374798690034
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,qmd,0.02227543092098049
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rmse,tcuft,1712.562366249332
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,nrmse,tcuft,0.9248154479053202
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mae,tcuft,1560.756576811984
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,mape,tcuft,0.8428375054257166
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,bias,tcuft,-1542.3760797628966
Blue Mountains,Eastern Cascades Slopes And Foothills,ElasticNet,rel_bias,tcuft,0.8329116960384634
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,total_cover,9.432768726365559
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,total_cover,0.2910291621564691
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,total_cover,7.5614933702667555
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,total_cover,0.2332947137831848
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,total_cover,-5.714940265292564
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,total_cover,0.17632302088924426
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,topht,11.029920003135352
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,topht,0.18532184231399584
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,topht,8.823951574183544
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,topht,0.1482577354824276
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,topht,-5.26040818834397
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,topht,0.08838400790852687
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,qmd,2.9076542392068956
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,qmd,0.23179579979932746
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,qmd,2.171731012869767
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,qmd,0.1731286066580118
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,qmd,-0.4702758045049399
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,qmd,0.037489999588543994
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rmse,tcuft,2207.530740809781
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,nrmse,tcuft,1.1921075524379068
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mae,tcuft,2050.487434714207
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,mape,tcuft,1.1073012538005083
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,bias,tcuft,-2032.1753192533329
Blue Mountains,Eastern Cascades Slopes And Foothills,Lasso,rel_bias,tcuft,1.0974123717394524
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,total_cover,7.9855501478578095
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,total_cover,0.24637813523336252
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,total_cover,6.3724908939466065
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,total_cover,0.19661042685497696
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,total_cover,-3.3346865735277267
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,total_cover,0.1028850666968627
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,topht,11.894917888394316
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,topht,0.1998553114278547
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,topht,9.953854640311135
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,topht,0.16724207243060812
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,topht,-2.636596861178038
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,topht,0.04429941356001843
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,qmd,3.22929354937732
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,qmd,0.257436620548425
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,qmd,2.5104126384632837
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,qmd,0.20012802674834515
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,qmd,-1.1176074504259996
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,qmd,0.08909474494596141
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rmse,tcuft,754.8317216423579
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,nrmse,tcuft,0.4076231327403745
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mae,tcuft,519.9763876873363
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,mape,tcuft,0.280796895550397
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,bias,tcuft,-112.02527694927507
Blue Mountains,Eastern Cascades Slopes And Foothills,KNeighborsRegressor,rel_bias,tcuft,0.060495727758785665
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rmse,total_cover,8.259395488490313
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,nrmse,total_cover,0.2548270840369062
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mae,total_cover,6.745035294117648
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mape,total_cover,0.20810453720508168
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,bias,total_cover,-1.272329411764706
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rel_bias,total_cover,0.0392551724137931
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rmse,topht,10.184537588047526
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,nrmse,topht,0.17111794721961648
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mae,topht,7.9725882352941175
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,mape,topht,0.13395335046451867
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,bias,topht,-2.538470588235294
Blue Mountains,Eastern Cascades Slopes And Foothills,RandomForestRegressor,rel_bias,topht,0.04265072148645978
