TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,tcuft,-0.854769910401599
Blue Mountains,Coast Range,ElasticNet,rmse,total_cover,19.49307484713145
Blue Mountains,Coast Range,ElasticNet,nrmse,total_cover,0.5874255322827974
Blue Mountains,Coast Range,ElasticNet,mae,total_cover,14.411161248884843
Blue Mountains,Coast Range,ElasticNet,mape,total_cover,0.4342816171295398
Blue Mountains,Coast Range,ElasticNet,bias,total_cover,7.857403904736814
Blue Mountains,Coast Range,ElasticNet,rel_bias,total_cover,-0.2367835606900252
Blue Mountains,Coast Range,ElasticNet,rmse,topht,72.20750351488111
Blue Mountains,Coast Range,ElasticNet,nrmse,topht,1.1744349982790534
Blue Mountains,Coast Range,ElasticNet,mae,topht,68.14646055624326
Blue Mountains,Coast Range,ElasticNet,mape,topht,1.1083832619916176
Blue Mountains,Coast Range,ElasticNet,bias,topht,68.14646055624326
Blue Mountains,Coast Range,ElasticNet,rel_bias,topht,-1.1083832619916176
Blue Mountains,Coast Range,ElasticNet,rmse,qmd,9.32166405540533
Blue Mountains,Coast Range,ElasticNet,nrmse,qmd,0.7045369748881798
Blue Mountains,Coast Range,ElasticNet,mae,qmd,8.19666910144005
Blue Mountains,Coast Range,ElasticNet,mape,qmd,0.6195091797520138
Blue Mountains,Coast Range,ElasticNet,bias,qmd,6.346390730684236
Blue Mountains,Coast Range,ElasticNet,rel_bias,qmd,-0.47966402782579515
Blue Mountains,Coast Range,ElasticNet,rmse,tcuft,7445.125855896079
Blue Mountains,Coast Range,ElasticNet,nrmse,tcuft,3.6914402677595155
Blue Mountains,Coast Range,ElasticNet,mae,tcuft,6561.783517396415
Blue Mountains,Coast Range,ElasticNet,mape,tcuft,3.2534617108258996
Blue Mountains,Coast Range,ElasticNet,bias,tcuft,6480.6837687336665
Blue Mountains,Coast Range,ElasticNet,rel_bias,tcuft,-3.2132508556015034
Blue Mountains,Coast Range,Lasso,rmse,total_cover,16.87512046415051
Blue Mountains,Coast Range,Lasso,nrmse,total_cover,0.5085332457156544
Blue Mountains,Coast Range,Lasso,mae,total_cover,12.815950815602628
