TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
Eastern Cascades,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.19288280227897261
Klamath Mountains,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,15.408442917911959
Klamath Mountains,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.30294972449077434
Klamath Mountains,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,11.471786960175187
Klamath Mountains,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.2255500258862554
Klamath Mountains,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-4.639820183658196
Klamath Mountains,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.09122480797147708
Klamath Mountains,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,18.84568495199835
Klamath Mountains,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.3705303056554085
Klamath Mountains,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,13.977620801067506
Klamath Mountains,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.27481792892891144
Klamath Mountains,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-9.610777648505485
Klamath Mountains,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.1889601990459517
North Cascades,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,22.213137881626242
North Cascades,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3633594758177678
North Cascades,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,17.36696678993185
North Cascades,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.2840864709417734
North Cascades,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,12.76260676279195
North Cascades,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.20876897843560646
North Cascades,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,25.488157081225193
North Cascades,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.4169317926151945
North Cascades,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,19.877328680754374
North Cascades,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.32515062791154015
North Cascades,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,15.53396285225692
North Cascades,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.25410244286276945
Northern Rockies,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,36.010801809578574
Northern Rockies,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.9099089108201867
Northern Rockies,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,33.421115865299285
Northern Rockies,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.844473591457241
Northern Rockies,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,32.95338916150779
Northern Rockies,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.8326552293485909
Northern Rockies,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,54.30371475942579
Northern Rockies,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,1.372128124542236
Northern Rockies,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,52.103252612151245
Northern Rockies,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,1.3165275820629223
Northern Rockies,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,52.103252612151245
Northern Rockies,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.3165275820629223
Puget Lowland,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,17.20943497864133
Puget Lowland,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.2558269003431817
Puget Lowland,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,12.425018016558344
Puget Lowland,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.18470413757507687
Puget Lowland,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,2.2202616791209655
Puget Lowland,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.03300530575380388
Puget Lowland,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,17.111130084650195
Puget Lowland,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2543655486863998
Puget Lowland,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,12.498743594761757
Puget Lowland,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.18580010534921915
Puget Lowland,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-2.909613640200468
Puget Lowland,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.04325286912048832
Willamette Valley,Cascades,unweighted,ElasticNet,rmse,TOTAL_COVER,15.21619743256782
Willamette Valley,Cascades,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.23510473934617904
Willamette Valley,Cascades,unweighted,ElasticNet,mae,TOTAL_COVER,11.89722147640429
Willamette Valley,Cascades,unweighted,ElasticNet,mape,TOTAL_COVER,0.18382340046187007
Willamette Valley,Cascades,unweighted,ElasticNet,bias,TOTAL_COVER,-7.796132311317073
Willamette Valley,Cascades,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.12045766776379234
Willamette Valley,Cascades,weighted,ElasticNet,rmse,TOTAL_COVER,16.338862503736443
Willamette Valley,Cascades,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2524509837084682
Willamette Valley,Cascades,weighted,ElasticNet,mae,TOTAL_COVER,12.651264615186152
Willamette Valley,Cascades,weighted,ElasticNet,mape,TOTAL_COVER,0.1954740849633505
Willamette Valley,Cascades,weighted,ElasticNet,bias,TOTAL_COVER,-9.881470358321193
Willamette Valley,Cascades,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.15267812626942553
Blue Mountains,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,13.441790025653795
Blue Mountains,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.5054712126638614
Blue Mountains,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,11.207201024993791
Blue Mountains,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.4214407070680117
Blue Mountains,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-10.981613019986826
Blue Mountains,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.4129575926735993
Blue Mountains,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,55.61833633550727
Blue Mountains,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,2.0914973273798
Blue Mountains,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,55.09014808631356
Blue Mountains,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,2.0716350951677804
Blue Mountains,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-55.09014808631356
Blue Mountains,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,2.0716350951677804
Cascades,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,16.724635939188282
Cascades,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.26630999969171154
Cascades,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,13.204355756645594
Cascades,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.2102558160469116
Cascades,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-3.203217354406834
Cascades,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.05100552357410365
Cascades,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,20.392224864956905
Cascades,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.32470981235383223
Cascades,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,15.720295971547893
Cascades,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.25031767690243195
Cascades,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-9.080167407811322
Cascades,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.14458547189711116
Eastern Cascades,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,13.324105098692888
Eastern Cascades,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.3089600672393276
Eastern Cascades,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,10.452263429871708
Eastern Cascades,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.24236764782147582
Eastern Cascades,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,0.8420904448966077
Eastern Cascades,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.0195264386275649
Eastern Cascades,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,31.472554691064445
Eastern Cascades,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.7297872946452968
Eastern Cascades,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,28.300152127875688
Eastern Cascades,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.6562254530076795
Eastern Cascades,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-28.005642436608763
Eastern Cascades,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.6493963464115909
Klamath Mountains,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,15.734943636267081
Klamath Mountains,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.30936914682946764
Klamath Mountains,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,12.346271667032894
Klamath Mountains,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.24274351535338182
Klamath Mountains,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,4.4046580056782805
Klamath Mountains,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.08660121833239368
Klamath Mountains,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,16.915594067746255
Klamath Mountains,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.3325822466113241
Klamath Mountains,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,12.518129831443067
Klamath Mountains,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.2461224669993673
Klamath Mountains,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,2.2310901260345037
Klamath Mountains,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,-0.04386608968843389
North Cascades,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,16.86838097568612
North Cascades,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.275930672284243
North Cascades,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,13.462576929117954
North Cascades,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.22021899482139012
North Cascades,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-5.814486587653433
North Cascades,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.09511257751597393
North Cascades,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,31.663360712361577
North Cascades,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.5179449302653094
North Cascades,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,27.91098842798679
North Cascades,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.45656413689926545
North Cascades,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-27.107673686764517
North Cascades,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.4434236240711048
Northern Rockies,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,21.330780528448454
Northern Rockies,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.5389790369072629
Northern Rockies,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,16.614280461753406
Northern Rockies,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.41980408875522524
Northern Rockies,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-14.324579524459718
Northern Rockies,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.3619486903396674
Northern Rockies,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,96.80845060350401
Northern Rockies,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,2.4461235912662684
Northern Rockies,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,95.18328325530587
Northern Rockies,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,2.4050594055944523
Northern Rockies,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-95.18328325530587
Northern Rockies,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,2.4050594055944523
Puget Lowland,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,18.12154908972685
Puget Lowland,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.26938593502897396
Puget Lowland,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,13.607924041993988
Puget Lowland,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.20228863016649865
Puget Lowland,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-4.40679604026624
Puget Lowland,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.06550923797469871
Puget Lowland,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,18.140561229624844
Puget Lowland,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.2696685600439748
Puget Lowland,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,13.376724761667923
Puget Lowland,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.198851736664719
Puget Lowland,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-3.748080420356746
Puget Lowland,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.055717099217195615
Willamette Valley,Coast Range,unweighted,ElasticNet,rmse,TOTAL_COVER,13.823828864126945
Willamette Valley,Coast Range,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.21359131913670806
Willamette Valley,Coast Range,unweighted,ElasticNet,mae,TOTAL_COVER,10.450000627680675
Willamette Valley,Coast Range,unweighted,ElasticNet,mape,TOTAL_COVER,0.16146246029114947
Willamette Valley,Coast Range,unweighted,ElasticNet,bias,TOTAL_COVER,-2.7810893179002694
Willamette Valley,Coast Range,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.04297047814218885
Willamette Valley,Coast Range,weighted,ElasticNet,rmse,TOTAL_COVER,13.837417825509398
Willamette Valley,Coast Range,weighted,ElasticNet,nrmse,TOTAL_COVER,0.21380128152960978
Willamette Valley,Coast Range,weighted,ElasticNet,mae,TOTAL_COVER,9.981543382225821
Willamette Valley,Coast Range,weighted,ElasticNet,mape,TOTAL_COVER,0.15422434977927066
Willamette Valley,Coast Range,weighted,ElasticNet,bias,TOTAL_COVER,-4.942912710466177
Willamette Valley,Coast Range,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.07637270806685073
